0	1298	l-d	1
0	1299	l-d	1
0	1300	l-d	1
0	1301	l-d	1
0	1302	l-d	1
1	1303	l-d	1
1	1304	l-d	1
1	1305	l-d	1
2	1306	l-d	1
3	1307	l-d	1
3	1306	l-d	1
4	1308	l-d	1
4	1309	l-d	1
5	1298	l-d	1
5	1310	l-d	1
6	1298	l-d	1
6	1310	l-d	1
6	1307	l-d	1
7	1298	l-d	1
7	1307	l-d	1
8	1298	l-d	1
9	1298	l-d	1
9	1311	l-d	1
10	1300	l-d	1
10	1310	l-d	1
11	1298	l-d	1
11	1312	l-d	1
12	1298	l-d	1
12	1304	l-d	1
13	1298	l-d	1
14	1298	l-d	1
15	1298	l-d	1
16	1298	l-d	1
16	1302	l-d	1
17	1298	l-d	1
18	1298	l-d	1
19	1298	l-d	1
19	1313	l-d	1
20	1298	l-d	1
20	1314	l-d	1
21	1315	l-d	1
21	1316	l-d	1
22	1304	l-d	1
22	1317	l-d	1
22	1310	l-d	1
22	1307	l-d	1
23	1303	l-d	1
23	1304	l-d	1
23	1318	l-d	1
23	1308	l-d	1
23	1309	l-d	1
23	1307	l-d	1
24	1298	l-d	1
25	1298	l-d	1
25	1319	l-d	1
26	1298	l-d	1
27	1312	l-d	1
28	1298	l-d	1
28	1310	l-d	1
28	1320	l-d	1
29	1298	l-d	1
29	1308	l-d	1
30	1298	l-d	1
30	1319	l-d	1
31	1298	l-d	1
31	1321	l-d	1
31	1310	l-d	1
32	1322	l-d	1
32	1323	l-d	1
33	1324	l-d	1
33	1322	l-d	1
33	1312	l-d	1
34	1303	l-d	1
34	1325	l-d	1
35	1299	l-d	1
35	1326	l-d	1
35	1304	l-d	1
35	1327	l-d	1
35	1328	l-d	1
35	1310	l-d	1
35	1329	l-d	1
35	1308	l-d	1
35	1319	l-d	1
35	1312	l-d	1
35	1309	l-d	1
35	1315	l-d	1
35	1307	l-d	1
35	1330	l-d	1
36	1322	l-d	1
36	1312	l-d	1
36	1307	l-d	1
37	1298	l-d	1
37	1331	l-d	1
38	1298	l-d	1
38	1308	l-d	1
39	1298	l-d	1
39	1315	l-d	1
40	1298	l-d	1
41	1298	l-d	1
41	1332	l-d	1
42	1298	l-d	1
42	1307	l-d	1
43	1298	l-d	1
44	1303	l-d	1
44	1333	l-d	1
44	1334	l-d	1
44	1309	l-d	1
45	1298	l-d	1
46	1298	l-d	1
46	1310	l-d	1
47	1298	l-d	1
47	1304	l-d	1
48	1335	l-d	1
48	1307	l-d	1
49	1336	l-d	1
49	1310	l-d	1
50	1298	l-d	1
50	1307	l-d	1
51	1301	l-d	1
51	1337	l-d	1
52	1298	l-d	1
52	1312	l-d	1
52	1309	l-d	1
53	1303	l-d	1
53	1327	l-d	1
53	1338	l-d	1
53	1322	l-d	1
53	1339	l-d	1
54	1340	l-d	1
54	1341	l-d	1
55	1298	l-d	1
56	1342	l-d	1
56	1336	l-d	1
56	1318	l-d	1
56	1343	l-d	1
56	1309	l-d	1
57	1310	l-d	1
58	1344	l-d	1
59	1304	l-d	1
59	1345	l-d	1
59	1327	l-d	1
59	1346	l-d	1
59	1310	l-d	1
59	1308	l-d	1
59	1347	l-d	1
59	1312	l-d	1
59	1305	l-d	1
59	1332	l-d	1
59	1348	l-d	1
59	1307	l-d	1
59	1306	l-d	1
60	1303	l-d	1
60	1300	l-d	1
60	1349	l-d	1
60	1336	l-d	1
60	1304	l-d	1
60	1312	l-d	1
60	1305	l-d	1
60	1307	l-d	1
61	1350	l-d	1
61	1342	l-d	1
61	1298	l-d	1
61	1303	l-d	1
61	1299	l-d	1
61	1300	l-d	1
61	1336	l-d	1
61	1351	l-d	1
61	1301	l-d	1
61	1308	l-d	1
61	1322	l-d	1
61	1312	l-d	1
61	1309	l-d	1
61	1352	l-d	1
61	1320	l-d	1
61	1353	l-d	1
62	1354	l-d	1
62	1355	l-d	1
62	1356	l-d	1
62	1357	l-d	1
62	1348	l-d	1
62	1358	l-d	1
62	1316	l-d	1
63	1299	l-d	1
63	1300	l-d	1
63	1304	l-d	1
63	1329	l-d	1
63	1312	l-d	1
63	1307	l-d	1
63	1306	l-d	1
64	1299	l-d	1
64	1320	l-d	1
64	1359	l-d	1
65	1310	l-d	1
65	1312	l-d	1
66	1298	l-d	1
66	1324	l-d	1
67	1327	l-d	1
67	1360	l-d	1
67	1320	l-d	1
67	1306	l-d	1
68	1298	l-d	1
68	1306	l-d	1
69	1298	l-d	1
69	1304	l-d	1
70	1298	l-d	1
70	1304	l-d	1
70	1310	l-d	1
71	1298	l-d	1
71	1361	l-d	1
71	1310	l-d	1
71	1347	l-d	1
71	1302	l-d	1
71	1307	l-d	1
72	1298	l-d	1
72	1303	l-d	1
72	1299	l-d	1
72	1304	l-d	1
72	1362	l-d	1
72	1322	l-d	1
72	1310	l-d	1
72	1329	l-d	1
72	1308	l-d	1
72	1305	l-d	1
72	1315	l-d	1
72	1339	l-d	1
